age,gender,country,self_employed,family_history,treatment,work_interfere,no_employees,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,survey_year,age_group,self_employed_encoded,tech_company_encoded,has_benefits,has_care_options,has_wellness_program,support_score,treatment_encoded
42.0,Male,New Zealand,No,No,yes,Sometimes,More Than 1000,No,no,yes,don't know,No,Yes,Somewhat difficult,2014,35-44,0,0,0,1,0,1,1
33.0,Male,United States,No,Yes,no,Unknown,500-1000,Yes,yes,no,don't know,Don'T Know,Don'T Know,Very easy,2014,25-34,0,1,1,0,0,1,0
29.0,Male,United States,No,No,no,Sometimes,More Than 1000,Yes,yes,no,yes,No,Don'T Know,Don't know,2014,25-34,0,1,1,0,1,2,0
43.0,Male,United States,No,Yes,no,Sometimes,500-1000,No,yes,not sure,no,Don'T Know,Don'T Know,Don't know,2014,35-44,0,0,1,0,0,1,0
29.0,Male,United States,No,No,no,Unknown,26-100,Yes,yes,yes,yes,Yes,Don'T Know,Somewhat easy,2014,25-34,0,1,1,1,1,3,0
25.0,Male,United States,No,No,no,Unknown,100-500,Yes,yes,no,no,No,Yes,Don't know,2014,25-34,0,1,1,0,0,1,0
31.0,Male,United States,No,Yes,no,Never,100-500,Yes,don't know,no,don't know,Don'T Know,Don'T Know,Very easy,2014,25-34,0,1,0,0,0,0,0
35.0,Female,United States,No,Yes,yes,Sometimes,6-25,No,yes,not sure,yes,Yes,Yes,Somewhat difficult,2014,35-44,0,0,1,0,1,2,1
34.0,Male,United States,No,No,no,Often,1-5,Yes,don't know,no,no,Yes,Don'T Know,Very easy,2014,25-34,0,1,0,0,0,0,0
43.0,Male,United States,No,No,yes,Sometimes,100-500,Yes,yes,yes,no,Yes,Yes,Very difficult,2014,35-44,0,1,1,1,0,2,1
38.0,Male,United States,No,Yes,yes,Sometimes,100-500,Yes,no,not sure,no,No,Don'T Know,Very difficult,2014,35-44,0,1,0,0,0,0,1
26.0,Male,United States,No,Yes,yes,Sometimes,More Than 1000,Yes,don't know,not sure,no,Yes,Yes,Very difficult,2014,25-34,0,1,0,0,0,0,1
38.0,Male,United Kingdom,Yes,Yes,yes,Rarely,1-5,No,no,no,no,No,Yes,Very difficult,2014,35-44,1,0,0,0,0,0,1
42.0,Male,United States,No,No,yes,Often,6-25,Yes,don't know,no,no,Don'T Know,Don'T Know,Don't know,2014,35-44,0,1,0,0,0,0,1
33.0,Male,Netherlands,No,Yes,yes,Unknown,6-25,Yes,don't know,no,no,Don'T Know,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,1
32.0,Male,United States,No,No,yes,Rarely,More Than 1000,Yes,yes,yes,yes,Yes,Yes,Somewhat easy,2014,25-34,0,1,1,1,1,3,1
44.0,Male,United States,No,Yes,yes,Sometimes,6-25,Yes,yes,yes,yes,Yes,Yes,Somewhat difficult,2014,35-44,0,1,1,1,1,3,1
28.0,Male,United States,No,Yes,yes,Rarely,More Than 1000,Yes,yes,yes,don't know,Don'T Know,Don'T Know,Don't know,2014,25-34,0,1,1,1,0,2,1
40.0,Male,United States,No,Yes,yes,Sometimes,More Than 1000,Yes,yes,yes,yes,Yes,Yes,Very difficult,2014,35-44,0,1,1,1,1,3,1
31.0,Female,United States,No,Yes,yes,Sometimes,500-1000,Yes,yes,yes,no,Don'T Know,Yes,Somewhat easy,2014,25-34,0,1,1,1,0,2,1
32.0,Male,United States,No,Yes,no,Sometimes,100-500,Yes,yes,yes,yes,Yes,Don'T Know,Don't know,2014,25-34,0,1,1,1,1,3,0
28.0,Male,United States,No,Yes,yes,Sometimes,More Than 1000,Yes,don't know,no,don't know,Don'T Know,Don'T Know,Somewhat easy,2014,25-34,0,1,0,0,0,0,1
39.0,Male,United States,No,Yes,yes,Often,26-100,Yes,yes,yes,no,No,Yes,Don't know,2014,35-44,0,1,1,1,0,2,1
45.0,Male,United States,No,No,no,Unknown,More Than 1000,No,yes,yes,yes,Yes,Don'T Know,Don't know,2014,45-54,0,0,1,1,1,3,0
43.0,Male,United States,No,No,yes,Rarely,More Than 1000,Yes,yes,yes,yes,Yes,Don'T Know,Somewhat easy,2014,35-44,0,1,1,1,1,3,1
35.0,Male,United States,No,No,yes,Sometimes,More Than 1000,Yes,yes,yes,don't know,Yes,Don'T Know,Very difficult,2014,35-44,0,1,1,1,0,2,1
40.0,Male,United States,No,Yes,yes,Sometimes,6-25,Yes,yes,yes,don't know,Don'T Know,Yes,Very easy,2014,35-44,0,1,1,1,0,2,1
34.0,Male,Netherlands,No,No,yes,Rarely,26-100,Yes,no,yes,no,No,Yes,Very easy,2014,25-34,0,1,0,1,0,1,1
24.0,Male,United Kingdom,No,Yes,yes,Often,26-100,No,don't know,yes,no,No,No,Somewhat easy,2014,18-24,0,0,0,1,0,1,1
61.0,Male,South Africa,Yes,No,yes,Sometimes,1-5,Yes,no,no,no,No,Don'T Know,Very difficult,2014,55-64,1,1,0,0,0,0,1
36.0,Female,United States,No,Yes,yes,Rarely,6-25,Yes,don't know,no,no,Don'T Know,Don'T Know,Don't know,2014,35-44,0,1,0,0,0,0,1
38.0,Male,United States,No,No,no,Unknown,6-25,Yes,no,no,no,No,Yes,Don't know,2014,35-44,0,1,0,0,0,0,0
33.0,Male,Germany,No,Yes,yes,Often,26-100,Yes,don't know,not sure,yes,No,Yes,Somewhat easy,2014,25-34,0,1,0,0,1,1,1
30.0,Male,United States,No,Yes,no,Never,More Than 1000,No,don't know,no,no,Don'T Know,Don'T Know,Don't know,2014,25-34,0,0,0,0,0,0,0
34.0,Male,Netherlands,Yes,Yes,yes,Rarely,1-5,Yes,yes,yes,yes,Yes,Yes,Very easy,2014,25-34,1,1,1,1,1,3,1
26.0,Male,United States,No,No,yes,Rarely,More Than 1000,Yes,yes,not sure,don't know,Don'T Know,Don'T Know,Don't know,2014,25-34,0,1,1,0,0,1,1
33.0,Male,United Kingdom,No,No,no,Unknown,More Than 1000,Yes,don't know,not sure,don't know,Don'T Know,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,0
32.0,Male,United Kingdom,No,No,no,Unknown,6-25,Yes,don't know,no,no,No,Don'T Know,Very easy,2014,25-34,0,1,0,0,0,0,0
25.0,Male,Germany,Yes,No,no,Sometimes,6-25,Yes,no,yes,no,No,Yes,Somewhat easy,2014,25-34,1,1,0,1,0,1,0
35.0,Male,Germany,Yes,No,yes,Sometimes,26-100,No,don't know,no,no,No,Don'T Know,Somewhat difficult,2014,35-44,1,0,0,0,0,0,1
24.0,Male,United Kingdom,Yes,Yes,no,Often,1-5,Yes,don't know,not sure,no,No,Don'T Know,Don't know,2014,18-24,1,1,0,0,0,0,0
55.0,Male,United Kingdom,No,No,yes,Often,More Than 1000,No,yes,yes,yes,Yes,Don'T Know,Somewhat easy,2014,55-64,0,0,1,1,1,3,1
33.0,Male,United Kingdom,Yes,Yes,yes,Sometimes,1-5,Yes,no,yes,no,No,No,Very difficult,2014,25-34,1,1,0,1,0,1,1
26.0,Female,United Kingdom,Yes,Yes,yes,Sometimes,1-5,Yes,no,no,no,No,Don'T Know,Very easy,2014,25-34,1,1,0,0,0,0,1
25.0,Male,United Kingdom,No,No,no,Never,6-25,Yes,don't know,not sure,don't know,Don'T Know,Don'T Know,Very easy,2014,25-34,0,1,0,0,0,0,0
45.0,Male,United Kingdom,No,Yes,no,Rarely,100-500,No,don't know,no,no,No,Don'T Know,Don't know,2014,45-54,0,0,0,0,0,0,0
33.0,Female,United Kingdom,Yes,No,yes,Sometimes,1-5,Yes,no,yes,yes,Yes,Yes,Very easy,2014,25-34,1,1,0,1,1,2,1
43.0,Male,United States,No,No,no,Sometimes,More Than 1000,Yes,no,not sure,no,No,Don'T Know,Very difficult,2014,35-44,0,1,0,0,0,0,0
30.0,Male,United Kingdom,Yes,No,yes,Sometimes,6-25,Yes,no,yes,no,No,No,Very difficult,2014,25-34,1,1,0,1,0,1,1
40.0,Male,United States,No,Yes,yes,Rarely,6-25,Yes,don't know,not sure,no,Don'T Know,Don'T Know,Don't know,2014,35-44,0,1,0,0,0,0,1
49.0,Male,United States,No,Yes,no,Never,More Than 1000,Yes,yes,yes,yes,Yes,Yes,Don't know,2014,45-54,0,1,1,1,1,3,0
29.0,Male,Germany,No,No,no,Unknown,6-25,Yes,don't know,not sure,no,No,Don'T Know,Somewhat easy,2014,25-34,0,1,0,0,0,0,0
26.0,Male,Germany,No,No,no,Unknown,500-1000,Yes,don't know,no,don't know,Don'T Know,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,0
38.0,Male,United States,No,No,no,Never,More Than 1000,Yes,yes,yes,yes,Yes,Yes,Somewhat easy,2014,35-44,0,1,1,1,1,3,0
27.0,Male,France,No,Yes,no,Unknown,500-1000,No,yes,yes,don't know,No,Yes,Somewhat easy,2014,25-34,0,0,1,1,0,2,0
26.0,Male,Belgium,No,No,no,Never,6-25,Yes,yes,no,no,No,No,Somewhat easy,2014,25-34,0,1,1,0,0,1,0
28.0,Male,United Kingdom,No,Yes,yes,Often,26-100,Yes,no,no,no,No,Don'T Know,Somewhat easy,2014,25-34,0,1,0,0,0,0,1
40.0,Male,United States,No,Yes,yes,Sometimes,1-5,Yes,no,no,no,No,Don'T Know,Don't know,2014,35-44,0,1,0,0,0,0,1
37.0,Female,Canada,Yes,Yes,yes,Rarely,1-5,Yes,no,yes,no,No,Yes,Somewhat easy,2014,35-44,1,1,0,1,0,1,1
34.0,Female,United Kingdom,No,Yes,yes,Often,26-100,No,yes,yes,no,Yes,No,Somewhat easy,2014,25-34,0,0,1,1,0,2,1
28.0,Male,United States,No,Yes,yes,Often,100-500,Yes,don't know,not sure,no,Don'T Know,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,1
27.0,Male,Canada,No,No,no,Never,26-100,Yes,yes,not sure,yes,No,Yes,Very easy,2014,25-34,0,1,1,0,1,2,0
29.0,Male,United Kingdom,No,No,yes,Sometimes,6-25,Yes,no,no,no,No,Don'T Know,Very easy,2014,25-34,0,1,0,0,0,0,1
39.0,Female,United Kingdom,No,Yes,no,Rarely,500-1000,Yes,don't know,not sure,no,No,Don'T Know,Somewhat difficult,2014,35-44,0,1,0,0,0,0,0
28.0,Male,United Kingdom,No,No,no,Often,6-25,Yes,no,no,no,No,No,Somewhat difficult,2014,25-34,0,1,0,0,0,0,0
23.0,Male,United States,No,Yes,no,Sometimes,26-100,Yes,yes,not sure,yes,Yes,Yes,Somewhat easy,2014,18-24,0,1,1,0,1,2,0
38.0,Male,United Kingdom,No,No,no,Unknown,1-5,Yes,no,no,no,No,Yes,Somewhat easy,2014,35-44,0,1,0,0,0,0,0
19.0,Male,United Kingdom,No,No,no,Unknown,6-25,Yes,yes,no,no,Yes,Don'T Know,Very easy,2014,18-24,0,1,1,0,0,1,0
30.0,Female,United States,No,Yes,yes,Sometimes,26-100,Yes,yes,yes,yes,Don'T Know,Yes,Very easy,2014,25-34,0,1,1,1,1,3,1
28.0,Male,United Kingdom,Yes,No,no,Unknown,1-5,Yes,no,yes,no,No,Yes,Very easy,2014,25-34,1,1,0,1,0,1,0
20.0,Male,India,No,No,yes,Sometimes,26-100,Yes,don't know,no,no,No,Don'T Know,Don't know,2014,18-24,0,1,0,0,0,0,1
35.0,Male,United Kingdom,Yes,No,no,Sometimes,1-5,Yes,don't know,not sure,no,Don'T Know,Don'T Know,Somewhat easy,2014,35-44,1,1,0,0,0,0,0
39.0,Male,United States,No,No,yes,Rarely,100-500,Yes,yes,yes,no,No,Yes,Very easy,2014,35-44,0,1,1,1,0,2,1
31.0,Female,United States,No,Yes,no,Never,More Than 1000,No,yes,not sure,no,Don'T Know,Don'T Know,Don't know,2014,25-34,0,0,1,0,0,1,0
32.0,Male,United Kingdom,No,No,no,Rarely,500-1000,Yes,no,no,no,No,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,0
27.0,Male,Sweden,No,No,no,Unknown,6-25,Yes,no,no,no,No,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,0
25.0,Male,United States,No,Yes,yes,Often,6-25,Yes,yes,yes,no,Don'T Know,Yes,Somewhat easy,2014,25-34,0,1,1,1,0,2,1
42.0,Male,United States,No,Yes,yes,Sometimes,6-25,Yes,don't know,no,no,Don'T Know,Don'T Know,Don't know,2014,35-44,0,1,0,0,0,0,1
34.0,Male,United States,No,Yes,yes,Often,100-500,Yes,yes,yes,no,No,Yes,Very easy,2014,25-34,0,1,1,1,0,2,1
26.0,Female,United States,No,No,yes,Sometimes,26-100,Yes,don't know,no,no,Don'T Know,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,1
35.0,Male,United Kingdom,No,Yes,yes,Sometimes,1-5,Yes,no,yes,no,No,Yes,Very easy,2014,35-44,0,1,0,1,0,1,1
34.0,Male,United Kingdom,No,No,no,Never,500-1000,Yes,don't know,no,no,Don'T Know,Don'T Know,Very easy,2014,25-34,0,1,0,0,0,0,0
38.0,Male,United States,No,Yes,yes,Sometimes,100-500,No,yes,yes,no,Yes,Yes,Very easy,2014,35-44,0,0,1,1,0,2,1
34.0,Male,United States,No,No,no,Sometimes,100-500,Yes,don't know,no,no,No,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,0
39.0,Male,United States,No,Yes,yes,Sometimes,6-25,Yes,no,yes,no,No,Yes,Somewhat easy,2014,35-44,0,1,0,1,0,1,1
44.0,Female,United States,No,No,no,Unknown,100-500,Yes,don't know,not sure,no,No,Don'T Know,Don't know,2014,35-44,0,1,0,0,0,0,0
40.0,Male,United States,No,No,no,Unknown,More Than 1000,No,yes,yes,yes,Yes,Yes,Don't know,2014,35-44,0,0,1,1,1,3,0
33.0,Female,United States,Yes,No,no,Never,1-5,Yes,no,yes,don't know,Don'T Know,Yes,Somewhat easy,2014,25-34,1,1,0,1,0,1,0
24.0,Female,United States,No,Yes,no,Sometimes,More Than 1000,No,yes,yes,no,Don'T Know,Don'T Know,Somewhat difficult,2014,18-24,0,0,1,1,0,2,0
38.0,Female,United States,No,Yes,no,Sometimes,26-100,Yes,don't know,not sure,don't know,Don'T Know,Don'T Know,Don't know,2014,35-44,0,1,0,0,0,0,0
31.0,Male,United States,No,No,no,Sometimes,More Than 1000,Yes,yes,not sure,yes,Yes,Yes,Don't know,2014,25-34,0,1,1,0,1,2,0
23.0,Male,Israel,No,No,no,Unknown,100-500,Yes,don't know,not sure,no,No,Yes,Very easy,2014,18-24,0,1,0,0,0,0,0
26.0,Female,United States,No,No,no,Unknown,6-25,Yes,don't know,not sure,no,No,Don'T Know,Somewhat easy,2014,25-34,0,1,0,0,0,0,0
46.0,Female,United States,No,No,yes,Often,More Than 1000,No,yes,yes,yes,Yes,Don'T Know,Don't know,2014,45-54,0,0,1,1,1,3,1
30.0,Male,United States,No,Yes,yes,Sometimes,26-100,Yes,yes,no,no,No,Don'T Know,Don't know,2014,25-34,0,1,1,0,0,1,1
25.0,Male,United States,No,No,no,Rarely,26-100,Yes,don't know,no,no,No,Don'T Know,Somewhat easy,2014,25-34,0,1,0,0,0,0,0
19.0,Male,Canada,No,No,no,Never,26-100,Yes,don't know,no,no,No,Don'T Know,Somewhat easy,2014,18-24,0,1,0,0,0,0,0
30.0,Female,United States,No,Yes,yes,Sometimes,500-1000,No,yes,yes,yes,Yes,Yes,Somewhat easy,2014,25-34,0,0,1,1,1,3,1
32.0,Male,United States,No,No,no,Never,6-25,Yes,yes,yes,yes,Yes,Don'T Know,Somewhat easy,2014,25-34,0,1,1,1,1,3,0
32.0,Male,United Kingdom,No,No,no,Unknown,6-25,Yes,no,no,no,No,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,0
37.0,Male,United States,No,Yes,no,Sometimes,26-100,Yes,don't know,no,no,No,Don'T Know,Somewhat easy,2014,35-44,0,1,0,0,0,0,0
42.0,Male,United States,No,Yes,yes,Sometimes,6-25,Yes,don't know,no,no,Don'T Know,Don'T Know,Don't know,2014,35-44,0,1,0,0,0,0,1
25.0,Female,United States,No,No,no,Never,More Than 1000,Yes,yes,yes,yes,Yes,Don'T Know,Don't know,2014,25-34,0,1,1,1,1,3,0
19.0,Male,United States,No,No,no,Sometimes,1-5,Yes,don't know,not sure,no,No,Don'T Know,Don't know,2014,18-24,0,1,0,0,0,0,0
40.0,Female,United States,No,Yes,no,Never,100-500,Yes,yes,yes,yes,No,Don'T Know,Don't know,2014,35-44,0,1,1,1,1,3,0
34.0,Male,United States,No,No,no,Unknown,More Than 1000,No,yes,not sure,yes,Don'T Know,Don'T Know,Don't know,2014,25-34,0,0,1,0,1,2,0
26.0,Male,United States,No,Yes,no,Unknown,6-25,Yes,don't know,not sure,no,No,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,0
31.0,Male,United States,No,Yes,yes,Rarely,6-25,Yes,don't know,not sure,don't know,Don'T Know,Yes,Don't know,2014,25-34,0,1,0,0,0,0,1
40.0,Male,United States,No,Yes,no,Sometimes,More Than 1000,No,yes,not sure,yes,Don'T Know,Don'T Know,Don't know,2014,35-44,0,0,1,0,1,2,0
31.0,Female,United States,No,Yes,yes,Often,26-100,Yes,no,no,no,No,No,Very difficult,2014,25-34,0,1,0,0,0,0,1
36.0,Male,United States,No,No,no,Never,100-500,No,don't know,no,no,Don'T Know,Don'T Know,Don't know,2014,35-44,0,0,0,0,0,0,0
35.0,Male,Canada,No,Yes,no,Sometimes,6-25,Yes,no,yes,no,No,Don'T Know,Don't know,2014,35-44,0,1,0,1,0,1,0
26.0,Male,Australia,No,Yes,yes,Sometimes,26-100,Yes,no,no,no,No,Yes,Don't know,2014,25-34,0,1,0,0,0,0,1
44.0,Male,United States,No,No,no,Unknown,More Than 1000,No,don't know,no,don't know,Don'T Know,Yes,Don't know,2014,35-44,0,0,0,0,0,0,0
34.0,Female,United States,No,No,no,Sometimes,1-5,Yes,no,not sure,no,No,Don'T Know,Very easy,2014,25-34,0,1,0,0,0,0,0
35.0,Male,United States,No,No,no,Unknown,6-25,Yes,no,no,no,No,Don'T Know,Don't know,2014,35-44,0,1,0,0,0,0,0
28.0,Female,United States,No,Yes,yes,Sometimes,26-100,Yes,don't know,no,no,No,Don'T Know,Somewhat easy,2014,25-34,0,1,0,0,0,0,1
33.0,Male,United States,No,No,no,Unknown,6-25,Yes,yes,no,don't know,Yes,Yes,Don't know,2014,25-34,0,1,1,0,0,1,0
40.0,Male,United States,No,Yes,yes,Sometimes,More Than 1000,Yes,yes,yes,no,Yes,Don'T Know,Don't know,2014,35-44,0,1,1,1,0,2,1
26.0,Male,United States,No,No,yes,Sometimes,6-25,Yes,yes,yes,no,No,Yes,Don't know,2014,25-34,0,1,1,1,0,2,1
29.0,Female,United Kingdom,No,No,yes,Often,More Than 1000,No,yes,yes,no,No,Don'T Know,Don't know,2014,25-34,0,0,1,1,0,2,1
26.0,Female,Canada,No,Yes,yes,Sometimes,100-500,Yes,yes,not sure,no,No,Yes,Don't know,2014,25-34,0,1,1,0,0,1,1
33.0,Male,Italy,No,Yes,yes,Sometimes,6-25,Yes,no,not sure,no,No,Don'T Know,Somewhat easy,2014,25-34,0,1,0,0,0,0,1
28.0,Male,Brazil,No,Yes,no,Sometimes,100-500,Yes,no,no,no,No,Don'T Know,Somewhat easy,2014,25-34,0,1,0,0,0,0,0
41.0,Male,United States,Yes,No,yes,Often,1-5,No,no,yes,yes,Yes,Yes,Very difficult,2014,35-44,1,0,0,1,1,2,1
39.0,Male,United Kingdom,Yes,Yes,yes,Sometimes,1-5,Yes,no,yes,yes,Yes,Yes,Somewhat difficult,2014,35-44,1,1,0,1,1,2,1
26.0,Female,United States,No,Yes,yes,Sometimes,More Than 1000,Yes,yes,yes,no,No,Don'T Know,Don't know,2014,25-34,0,1,1,1,0,2,1
23.0,Female,United States,No,Yes,no,Sometimes,26-100,No,no,no,no,No,Don'T Know,Somewhat difficult,2014,18-24,0,0,0,0,0,0,0
35.0,Male,Switzerland,No,Yes,yes,Often,More Than 1000,Yes,don't know,not sure,no,No,Yes,Very easy,2014,35-44,0,1,0,0,0,0,1
36.0,Male,United States,No,No,no,Never,1-5,Yes,don't know,not sure,don't know,Don'T Know,Don'T Know,Very easy,2014,35-44,0,1,0,0,0,0,0
42.0,Male,United States,No,No,no,Rarely,More Than 1000,No,don't know,no,no,Don'T Know,Don'T Know,Don't know,2014,35-44,0,0,0,0,0,0,0
39.0,Male,United States,No,Yes,yes,Sometimes,500-1000,Yes,yes,yes,no,Don'T Know,Yes,Very easy,2014,35-44,0,1,1,1,0,2,1
27.0,Male,United States,No,No,no,Never,6-25,Yes,don't know,no,no,Don'T Know,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,0
33.0,Male,United States,Yes,No,no,Never,6-25,Yes,don't know,no,no,No,No,Very easy,2014,25-34,1,1,0,0,0,0,0
31.0,Male,Canada,No,Yes,yes,Often,More Than 1000,Yes,yes,not sure,don't know,Don'T Know,Don'T Know,Don't know,2014,25-34,0,1,1,0,0,1,1
28.0,Female,United States,No,No,yes,Rarely,6-25,Yes,yes,yes,don't know,Yes,Yes,Very easy,2014,25-34,0,1,1,1,0,2,1
29.0,Female,United States,No,No,yes,Often,More Than 1000,No,yes,no,no,No,Don'T Know,Somewhat easy,2014,25-34,0,0,1,0,0,1,1
27.0,Male,United States,No,No,yes,Sometimes,100-500,Yes,don't know,not sure,no,No,Yes,Very difficult,2014,25-34,0,1,0,0,0,0,1
44.0,Male,United States,Yes,No,no,Never,1-5,Yes,don't know,no,no,No,Yes,Somewhat difficult,2014,35-44,1,1,0,0,0,0,0
25.0,Male,United States,No,No,yes,Often,6-25,Yes,don't know,no,no,No,Don'T Know,Somewhat easy,2014,25-34,0,1,0,0,0,0,1
24.0,Male,Germany,No,Yes,yes,Sometimes,6-25,Yes,no,no,no,No,Don'T Know,Somewhat easy,2014,18-24,0,1,0,0,0,0,1
25.0,Male,South Africa,No,Yes,yes,Often,6-25,No,don't know,no,no,No,Yes,Don't know,2014,25-34,0,0,0,0,0,0,1
34.0,Male,United States,No,No,no,Never,6-25,Yes,yes,not sure,don't know,Don'T Know,Don'T Know,Somewhat easy,2014,25-34,0,1,1,0,0,1,0
26.0,Male,United States,No,No,no,Never,More Than 1000,No,yes,yes,no,Don'T Know,Don'T Know,Somewhat difficult,2014,25-34,0,0,1,1,0,2,0
48.0,Male,United States,No,No,no,Never,26-100,No,yes,yes,yes,Yes,Yes,Don't know,2014,45-54,0,0,1,1,1,3,0
34.0,Male,Greece,No,No,no,Unknown,26-100,Yes,no,no,no,No,Don'T Know,Very difficult,2014,25-34,0,1,0,0,0,0,0
39.0,Female,United States,No,No,yes,Sometimes,6-25,Yes,no,no,no,No,Don'T Know,Don't know,2014,35-44,0,1,0,0,0,0,1
43.0,Male,United States,No,No,no,Sometimes,More Than 1000,Yes,yes,not sure,no,Yes,Don'T Know,Don't know,2014,35-44,0,1,1,0,0,1,0
41.0,Male,United States,No,No,no,Rarely,More Than 1000,Yes,yes,yes,yes,Yes,Don'T Know,Don't know,2014,35-44,0,1,1,1,1,3,0
25.0,Male,United States,No,No,no,Never,More Than 1000,No,don't know,no,no,No,Don'T Know,Don't know,2014,25-34,0,0,0,0,0,0,0
31.0,Male,United States,No,No,yes,Sometimes,100-500,Yes,yes,yes,no,No,Don'T Know,Somewhat easy,2014,25-34,0,1,1,1,0,2,1
40.0,Male,United States,No,Yes,yes,Sometimes,More Than 1000,Yes,yes,yes,yes,Yes,Yes,Don't know,2014,35-44,0,1,1,1,1,3,1
43.0,Male,United States,Yes,Yes,yes,Sometimes,1-5,Yes,yes,not sure,no,Don'T Know,Don'T Know,Don't know,2014,35-44,1,1,1,0,0,1,1
27.0,Female,United States,No,Yes,yes,Often,More Than 1000,Yes,yes,yes,yes,Yes,Yes,Very difficult,2014,25-34,0,1,1,1,1,3,1
37.0,Female,United States,No,Yes,yes,Sometimes,26-100,Yes,yes,yes,no,Don'T Know,Don'T Know,Don't know,2014,35-44,0,1,1,1,0,2,1
32.0,Male,Netherlands,Yes,No,yes,Sometimes,1-5,Yes,no,no,no,No,Yes,Very difficult,2014,25-34,1,1,0,0,0,0,1
25.0,Male,United States,No,Yes,yes,Often,1-5,Yes,no,yes,no,No,Yes,Very easy,2014,25-34,0,1,0,1,0,1,1
29.0,Male,Netherlands,No,Yes,yes,Often,1-5,Yes,don't know,not sure,don't know,Yes,Don'T Know,Very difficult,2014,25-34,0,1,0,0,0,0,1
30.0,Female,United States,No,Yes,yes,Often,More Than 1000,No,yes,no,no,No,Don'T Know,Somewhat difficult,2014,25-34,0,0,1,0,0,1,1
34.0,Female,Canada,No,Yes,yes,Often,26-100,No,don't know,no,yes,Don'T Know,Don'T Know,Somewhat easy,2014,25-34,0,0,0,0,1,1,1
32.0,Male,United Kingdom,No,Yes,yes,Sometimes,1-5,No,yes,yes,yes,Yes,Yes,Somewhat easy,2014,25-34,0,0,1,1,1,3,1
37.0,Male,Germany,No,No,no,Unknown,6-25,Yes,don't know,no,no,No,Yes,Very easy,2014,35-44,0,1,0,0,0,0,0
41.0,Male,Germany,No,No,yes,Sometimes,More Than 1000,Yes,don't know,no,no,No,Don'T Know,Somewhat difficult,2014,35-44,0,1,0,0,0,0,1
38.0,Male,United States,No,Yes,no,Never,More Than 1000,No,yes,not sure,yes,Yes,Don'T Know,Don't know,2014,35-44,0,0,1,0,1,2,0
32.0,Male,United States,No,No,yes,Sometimes,26-100,Yes,yes,yes,yes,Don'T Know,Yes,Don't know,2014,25-34,0,1,1,1,1,3,1
28.0,Female,United States,No,Yes,yes,Sometimes,100-500,Yes,yes,yes,don't know,Don'T Know,Don'T Know,Don't know,2014,25-34,0,1,1,1,0,2,1
43.0,Male,United States,No,Yes,no,Never,100-500,No,yes,yes,no,Don'T Know,Don'T Know,Somewhat easy,2014,35-44,0,0,1,1,0,2,0
32.0,Male,United States,No,Yes,yes,Often,100-500,Yes,no,yes,no,No,Don'T Know,Very difficult,2014,25-34,0,1,0,1,0,1,1
25.0,Male,United States,No,No,yes,Sometimes,More Than 1000,Yes,yes,yes,yes,Don'T Know,Yes,Don't know,2014,25-34,0,1,1,1,1,3,1
37.0,Male,United States,No,No,yes,Sometimes,100-500,Yes,yes,no,no,Yes,Yes,Very easy,2014,35-44,0,1,1,0,0,1,1
36.0,Male,United States,Yes,No,yes,Sometimes,1-5,No,no,yes,no,No,No,Very difficult,2014,35-44,1,0,0,1,0,1,1
24.0,Male,United States,No,Yes,yes,Rarely,6-25,Yes,don't know,no,no,No,Don'T Know,Very easy,2014,18-24,0,1,0,0,0,0,1
40.0,Male,United States,No,Yes,yes,Sometimes,More Than 1000,Yes,yes,not sure,yes,Don'T Know,Don'T Know,Somewhat difficult,2014,35-44,0,1,1,0,1,2,1
29.0,Male,United States,No,No,no,Unknown,More Than 1000,No,don't know,not sure,yes,Don'T Know,Yes,Somewhat easy,2014,25-34,0,0,0,0,1,1,0
43.0,Male,United States,No,No,no,Never,500-1000,Yes,don't know,no,no,Don'T Know,Don'T Know,Don't know,2014,35-44,0,1,0,0,0,0,0
29.0,Male,United States,No,No,no,Unknown,6-25,Yes,yes,not sure,no,Yes,Don'T Know,Don't know,2014,25-34,0,1,1,0,0,1,0
26.0,Male,United States,No,Yes,no,Sometimes,100-500,Yes,don't know,not sure,no,No,Don'T Know,Don't know,2014,25-34,0,1,0,0,0,0,0
33.0,Female,Canada,Yes,Yes,yes,Often,1-5,Yes,no,yes,no,No,No,Very difficult,2014,25-34,1,1,0,1,0,1,1
35.0,Female,United States,No,Yes,no,Sometimes,6-25,Yes,don't know,no,no,No,Don'T Know,Somewhat easy,2014,35-44,0,1,0,0,0,0,0
45.0,Male,United States,No,No,no,Never,6-25,Yes,yes,no,no,No,Don'T Know,Don't know,2014,45-54,0,1,1,0,0,1,0
